size:  100 | nOfPuts: 9
size:  200 | nOfPuts: 12
size:  300 | nOfPuts: 9
size:  400 | nOfPuts: 11
size:  500 | nOfPuts: 9
size:  600 | nOfPuts: 9
size:  700 | nOfPuts: 10
size:  800 | nOfPuts: 10
size:  900 | nOfPuts: 11
size: 1000 | nOfPuts: 13
size: 1100 | nOfPuts: 13
size: 1200 | nOfPuts: 11
size: 1300 | nOfPuts: 12
size: 1400 | nOfPuts: 13
size: 1500 | nOfPuts: 11
size: 1600 | nOfPuts: 13
size: 1700 | nOfPuts: 13
size: 1800 | nOfPuts: 12
size: 1900 | nOfPuts: 13
size: 2000 | nOfPuts: 13
size: 2100 | nOfPuts: 13
size: 2200 | nOfPuts: 13
size: 2300 | nOfPuts: 14
size: 2400 | nOfPuts: 12
size: 2500 | nOfPuts: 13
size: 2600 | nOfPuts: 12
size: 2700 | nOfPuts: 13
size: 2800 | nOfPuts: 13
size: 2900 | nOfPuts: 12
size: 3000 | nOfPuts: 13
size: 3100 | nOfPuts: 13
size: 3200 | nOfPuts: 13
size: 3300 | nOfPuts: 13
size: 3400 | nOfPuts: 13
size: 3500 | nOfPuts: 15
size: 3600 | nOfPuts: 12
size: 3700 | nOfPuts: 14
size: 3800 | nOfPuts: 15
size: 3900 | nOfPuts: 14
size: 4000 | nOfPuts: 13
size: 4100 | nOfPuts: 14
size: 4200 | nOfPuts: 14
size: 4300 | nOfPuts: 12
size: 4400 | nOfPuts: 14
size: 4500 | nOfPuts: 13
size: 4600 | nOfPuts: 13
size: 4700 | nOfPuts: 16
size: 4800 | nOfPuts: 12
size: 4900 | nOfPuts: 15
size: 5000 | nOfPuts: 16
size: 5100 | nOfPuts: 13
size: 5200 | nOfPuts: 14
size: 5300 | nOfPuts: 14
size: 5400 | nOfPuts: 12
size: 5500 | nOfPuts: 14
size: 5600 | nOfPuts: 14
size: 5700 | nOfPuts: 16
size: 5800 | nOfPuts: 14
size: 5900 | nOfPuts: 13
size: 6000 | nOfPuts: 14
size: 6100 | nOfPuts: 15
size: 6200 | nOfPuts: 14
size: 6300 | nOfPuts: 15
size: 6400 | nOfPuts: 15
size: 6500 | nOfPuts: 14
size: 6600 | nOfPuts: 13
size: 6700 | nOfPuts: 16
size: 6800 | nOfPuts: 16
size: 6900 | nOfPuts: 14
size: 7000 | nOfPuts: 14
size: 7100 | nOfPuts: 17
size: 7200 | nOfPuts: 17
size: 7300 | nOfPuts: 14
size: 7400 | nOfPuts: 14
size: 7500 | nOfPuts: 14
size: 7600 | nOfPuts: 16
size: 7700 | nOfPuts: 13
size: 7800 | nOfPuts: 13
size: 7900 | nOfPuts: 14
size: 8000 | nOfPuts: 15
size: 8100 | nOfPuts: 13
size: 8200 | nOfPuts: 14
size: 8300 | nOfPuts: 14
size: 8400 | nOfPuts: 15
size: 8500 | nOfPuts: 13
size: 8600 | nOfPuts: 15
size: 8700 | nOfPuts: 13
size: 8800 | nOfPuts: 15
size: 8900 | nOfPuts: 19
size: 9000 | nOfPuts: 16
size: 9100 | nOfPuts: 15
size: 9200 | nOfPuts: 14
size: 9300 | nOfPuts: 15
size: 9400 | nOfPuts: 15
size: 9500 | nOfPuts: 16
size: 9600 | nOfPuts: 14
size: 9700 | nOfPuts: 13
size: 9800 | nOfPuts: 15
size: 9900 | nOfPuts: 15
